curso,escolhas_1a_opcao,escolhas_2a_opcao,total_escolhas
Educação Ambiental (Por-Iii E Bio-Ii) - Nocturno - Uem,24,32,56
Eco-Turismo E Conservação Da Natureza (Por-Iii E Bio-Ii)(Inhambane) - Diurno - Uem,28,21,49
Engenharia Do Ambiente - Nocturno - Uem,18,30,48
Produção Animal (Vilankulo) - Diurno - Uem,19,28,47
Sociologia - Nocturno - Uem,14,31,45
Ciências De Infor. Geog (Mat-Ii E Por-Ii)  - Nocturno - Uem,14,30,44
Eco-Turismo E Conservação Da Natureza (Mat-Ii E Por-Ii)(Inhambane) - Diurno - Uem,14,28,42
Literatura Moçambicana - Diurno - Uem,13,25,38
Economia Agrária (Vilankulo) - Diurno - Uem,23,14,37
Agricultura Comercial (Chibuto) - Diurno - Uem,12,24,36
Teatro - Diurno - Uem,26,10,36
Arquivística (Por-I E His-I) - Nocturno - Uem,12,24,36
Arqueologia E Gestão Do Património Cultural - Diurno - Uem,9,25,34
Eco-Turismo E Conservação Da Natureza (Por-Iii E Geo-I)(Inhambane) - Diurno - Uem,15,18,33
Filosofia (Mat-Ii E Por-Ii)- Diurno - Uem,2,28,30
Ensino De Filosofia (Fil E Por-Ii) - Nocturno - Uem,10,20,30
Educação Ambiental (Por-Iii E Geo-I) - Nocturno - Uem,10,19,29
Animação Turística (Inhambane) - Diurno - Uem,9,20,29
Arquivística (Mat-Ii E Por-Ii) - Nocturno - Uem,14,11,25
Estatística (Mat-I E Fis-I) - Nocturno - Uem,7,18,25
Filosofia (Por-I E His-I)- Diurno - Uem,7,17,24
Química Marinha (Quelimane) - Diurno - Uem,5,19,24
Ensino De Línguas Bantu - Diurno - Uem,14,9,23
Informação Turística (Inhambane) - Diurno - Uem,8,14,22
Gestão De Empresas  (Chibuto) - Nocturno - Uem,10,10,20
Ensino De Filosofia (Por-I E His-I) - Nocturno - Uem,4,13,17
Hidrogeologia E Recursos Hídricos - Nocturno - Uem,9,8,17
Geologia E Pesquisa Mineral - Nocturno - Uem,8,9,17
Ciências De Infor. Geog (Mat-I E Fis-I) - Nocturno - Uem,2,13,15
Oceanografia (Quelimane) - Diurno - Uem,5,9,14
Produção Pesqueira (Vilankulo) - Diurno - Uem,5,8,13
Geologia Marinha (Quelimane) - Diurno - Uem,5,7,12
Ensino De Filosofia (Mat-Ii E Por-Ii) - Nocturno - Uem,3,7,10
Educação Ambiental (Bio-Ii E Geo-I) - Nocturno - Uem,1,7,8
Geografia - Nocturno - Uem,4,4,8
Educação Ambiental (Bio-Ii E Geo-I)- Diurno - Uem,4,1,5
