EscoPU,count
Escola Nossa Senhora Do Amparo,20
Escola Secundária De Teacane,19
Escola Secundária 22 De Agosto,19
Escola Secundária De Nacala-Porto,19
Escola Secundária De Chinhamapere,19
Escola Secundária De Macombe,19
Escola Secundária De Sangariveira,19
Escola Secundária De Hokwe,18
Escola Secundária De Angoche,18
Escola Secundária De Sussundenga,18
Escola Secundária De Gurué,17
Escola Santa Isabel,17
Escola Secundária Triângulo Santa Maria,17
Liceu Alvorada,17
Escola Comunitária Rei Dos Reis,17
Escola Secundária Eduardo Mondlane - Floresta,17
Escola Secundária De Namicopo,16
Desconhecida - Província De Tete,16
Escola Adpp De Profissionais Do Futuro - Ncv,16
Escola Secundária De Chipenhe,16
Escola Lusófona De Nampula,15
Escola Secundária Igreja Metodista Unida,15
Instituto Agrário De Boane,15
Instituto Medio Politécnico - Lourenço Do Rosário,15
Escola União Baptista,15
Escola Anglicana São Cipriano,14
Escola Secundária De Doane,14
Escola Secundária De Changalane,14
Escola Secundária De Mapara,14
Escola Secundária De Mazivila,14
Centro Cultural Islamica  Mangira,14
Escola Secundária De Songo,14
Willow International School,14
Escola Secundária Mathias Manuel Kaphesse,13
Escola Secundária De Pista Nova,13
Escola Secundária Julius Nyerere,13
Desconhecida - Província De Niassa,13
Escola Secundária De Mangunze,13
Escola Aboobacar Sidik,13
Escola Secundária 16 De Junho,12
Escola Secundária Fraternidade,12
Escola Secundária Da Ilha De Moçambique,12
Escola Secundária De Monapo,12
Escola Secundária De Marrupa,11
Escola Secundária De Matadouro,11
Escola Secundária De Macharote,11
Escola Secundaria Da Apolitecnica,11
Escola Secundária De São João De Chidenguele,11
Escola Secundária Padre Menegon,11
Escola Secundária De Xilembene,11
Escola Secundária De Chicualacuala,11
Escola Secundaria De Incadine,11
Escola Secundária De Lichinga,11
Instituto Industrial E Comercial Da Beira,10
Escola Comunitária Luís Cabral,10
Escola Pré-Universitária De Joaquim Matival,10
Escola Secundária De Mabalane,10
Escola Secundária De Pebane,10
Escola Secundária De Montepuez,9
Escola Secundária 15 De Outubro,9
Escola Secundária De Moma,9
Escola Secundária De 20 De Junho,9
Instituto Agrário De Chimoio,9
Escola Secundária Cristiano Paulo Taimo,9
Escola Secundária De Chiulugo,9
Escola Clave De Sol,9
Escola De Jornalismo,9
Escola Secundária De Inhassunge,9
Ensino Secundário Aberto Moçambicano,9
Escola Comunitária Nossa Sra Do Amparo,9
Escola Secundária De Nametil,9
Escola Secundária Da Cidade Alta,8
Instituto De Magistério Primário,8
Escola Secundária Timóteo Valente Fuel,8
Escola Secundária São Vicente De Paulo,8
Escola Secundária De Vanduzi,8
Escola Do Centro Cultural Islâmico De Nacala,8
Escola Secundária De Mecuburi,8
Instituto De Magistério Primário De Maputo,8
Escola Secundária De Ribáue,8
Escola Secundária De Namarrói,8
Escola Isaac Newton,8
Escola Secundária Maria Da Luz Guebuza,8
Escola Secundária De Marromeu,8
Escola Portuguesa De Maputo,8
Escola Secundária De Xinavane,8
Colégio Mundial,8
Escola Secundária Luís João Diogo,7
Escola Secundária De Chinde,7
Escola Secundária De Malema,7
Colégio Adventista Da Chamba,7
Colégio Midas,7
Escola Secundária Albert Einstein,7
Khensane-Colegio De Cumbeza,7
Escola Secundária De Mopeia,7
Escola Secundária De Kuphe,7
Escola Secundária De Lugela,7
Escola Comunitária Santa Rita De Xinavane,7
Escola Secundária Gerardo Gumiero,7
Escola Secundária 25 De Junho De Mapinhane,7
Escola Secundária De Mabote,7
Escola Secundária De Namapa,6
Escola Secundária Isaac Newton De Laulane Ii,6
Escola Comunitária Stª T.Do Menino Jesus,6
Escola Secundária De Mocubela,6
Escola Secundária De Derre,6
Colégio Gutemberg,6
Escola Secundária El Shaddai,6
Escola Secundária Do Ile,6
Escola Comunitária N. Sª. De Fátima,6
Escola Secundária De Guro,6
Escola Secundária De Massangena,6
Instituto Médio De Administração Estatal,6
Escola Da Catedral Da Beira,6
Escola Secundária De Metuge,6
Escola Secundária De Messica,6
Escola Comunitária Sag. Cor. De Amatongas,5
Escola Secundária União Geral Das Cooperativas,5
Instituto Médio De Ciências Documentais,5
Escola Secundária Adventista Da Manga,5
Escola Secundária Madre Mª Clara De Invinha,5
Escola Secundária De Tica,5
